PMID,TI,JT
26717007,The Impact and Cost-Effectiveness of a Four-Month Regimen for First-Line Treatment of Active Tuberculosis in South Africa.,PloS one
26703879,"Factors associated with dropout in a long term observational cohort of fishing communities around lake Victoria, Uganda.",BMC research notes
26700639,Virological Response and Antiretroviral Drug Resistance Emerging during Antiretroviral Therapy at Three Treatment Centers in Uganda.,PloS one
26690303,Implementation of antiretroviral therapy guidelines for under-five children in Tanzania: translating recommendations into practice.,Journal of the International AIDS Society
26683587,High Prevalence of Metabolic Syndrome and Cardiovascular Disease Risk Among People with HIV on Stable ART in Southwestern Uganda.,AIDS patient care and STDs
26666331,"Use of peers, community lay persons and Village Health Team (VHT) members improves six-week postnatal clinic (PNC) follow-up and Early Infant HIV Diagnosis (EID) in urban and rural health units in Uganda: A one-year implementation study.",BMC health services research
26643490,"Postpartum Contraception in Northern Tanzania: Patterns of Use, Relationship to Antenatal Intentions, and Impact of Antenatal Counseling.",Studies in family planning
26642214,Outcomes in a Cohort of Patients Started on Antiretroviral Treatment and Followed up for a Decade in an Urban Clinic in Uganda.,PloS one
26633768,Sustainable HIV treatment in Africa through viral-load-informed differentiated care.,Nature
26609005,Transient Hyperglycemia in Patients With Tuberculosis in Tanzania: Implications for Diabetes Screening Algorithms.,The Journal of infectious diseases
26605986,Scale-up of HIV Viral Load Monitoring--Seven Sub-Saharan African Countries.,MMWR. Morbidity and mortality weekly report
26600904,"Predictive and prognostic properties of TB-LAM among HIV-positive patients initiating ART in Johannesburg, South Africa.",The Pan African medical journal
26584666,CD4 count-based failure criteria combined with viral load monitoring may trigger worse switch decisions than viral load monitoring alone.,Tropical medicine & international health : TM & IH
26565428,"Loss to follow-up among youth accessing outpatient HIV care and treatment services in Kisumu, Kenya.",AIDS care
26562813,Development and pilot testing of an intervention to promote care engagement and adherence among HIV-positive Kenyan MSM.,"AIDS (London, England)"
26559430,Efavirenz-based antiretroviral therapy versus nevirapine-including regimens for prevention of mother-to-child transmission of HIV option B plus in resource-limited settings: is there anything missing?,Expert review of anti-infective therapy
26556045,"Outcomes and Diagnostic Processes in Outpatients with Presumptive Tuberculosis in Zomba District, Malawi.",PloS one
26555353,HIV testing uptake and retention in care of HIV-infected pregnant and breastfeeding women initiated on 'Option B+' in rural Zimbabwe.,Tropical medicine & international health : TM & IH
26555134,"Time to ART Initiation among Patients Treated for Rifampicin-Resistant Tuberculosis in Khayelitsha, South Africa: Impact on Mortality and Treatment Success.",PloS one
26529159,Efavirenz-Based Antiretroviral Therapy Among Nevirapine-Exposed HIV-Infected Children in South Africa: A Randomized Clinical Trial.,JAMA
26523067,"Education, HIV, and Early Fertility: Experimental Evidence from Kenya.",The American economic review
26514630,Lipid Profile in HIV-Infected Patients Using First-Line Antiretroviral Drugs.,Journal of the International Association of Providers of AIDS Care
26511616,"Treatment outcomes in multidrug resistant tuberculosis-human immunodeficiency virus Co-infected patients on anti-retroviral therapy at Sizwe Tropical Disease Hospital Johannesburg, South Africa.",BMC infectious diseases
26506365,Elimination of Mother-To-Child Transmission of HIV Infection: The Drug Resource Enhancement against AIDS and Malnutrition Model.,International journal of environmental research and public health
26501782,"Pharmacokinetics of Isoniazid, Pyrazinamide, and Ethambutol in Newly Diagnosed Pulmonary TB Patients in Tanzania.",PloS one
